epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3995,0.70438,3.42099,1.13936,0.00933,1,0.24157,0.1833,0.40481,3.36611,0.9543,0,0,0
2,15.5641,0.70861,3.41564,1.06314,0.01652,1,0.27131,0.21898,0.37628,3.36118,0.9447,1.18812e-05,1.18812e-05,1.18812e-05
3,20.7303,0.69303,3.50619,1.048,0.0322,1,0.35428,0.3009,0.34885,3.35263,0.91878,2.2525e-05,2.2525e-05,2.2525e-05
4,25.1687,0.48271,3.32906,0.98433,0.03292,0.91667,0.3159,0.27403,0.32133,3.34156,0.90063,3.19313e-05,3.19313e-05,3.19313e-05
5,29.884,0.51704,3.30085,0.97026,0.06745,0.91667,0.3884,0.34389,0.2962,3.33411,0.88921,4.01e-05,4.01e-05,4.01e-05
6,35.2428,0.40968,3.2375,0.93211,0.04324,0.91667,0.4652,0.425,0.29424,3.33466,0.89072,4.70313e-05,4.70313e-05,4.70313e-05
7,39.7636,0.35866,3.14074,0.95167,0.06034,0.91667,0.51179,0.47735,0.28184,3.33514,0.87823,5.2725e-05,5.2725e-05,5.2725e-05
8,44.2231,0.45848,3.19696,0.93609,0.06697,0.91667,0.53813,0.50961,0.28902,3.33265,0.87896,5.71813e-05,5.71813e-05,5.71813e-05
9,48.966,0.36842,3.21909,0.87671,0.07582,0.91667,0.55023,0.50844,0.29141,3.32792,0.88153,6.04e-05,6.04e-05,6.04e-05
10,54.3295,0.46112,3.15018,0.96957,0.04594,0.91667,0.57551,0.53455,0.28795,3.32711,0.8706,6.23813e-05,6.23813e-05,6.23813e-05
11,59.1401,0.4555,3.23416,0.89754,0.05987,0.91667,0.62552,0.58533,0.27214,3.32499,0.86208,6.3125e-05,6.3125e-05,6.3125e-05
12,63.8435,0.46501,3.3358,0.80908,0.02807,0.91667,0.60789,0.59492,0.25256,3.32331,0.85847,6.26313e-05,6.26313e-05,6.26313e-05
13,68.4609,0.33899,3.23671,0.85475,0.02277,0.91667,0.58583,0.57158,0.22857,3.32104,0.86012,6.09e-05,6.09e-05,6.09e-05
14,73.3184,0.29716,3.18394,0.79426,0.01705,0.91667,0.58826,0.57728,0.20817,3.31861,0.85341,5.79313e-05,5.79313e-05,5.79313e-05
15,78.4028,0.31206,3.13825,0.89279,0.01928,0.91667,0.58496,0.57673,0.19262,3.31803,0.85411,5.3725e-05,5.3725e-05,5.3725e-05
16,83.6149,0.27041,3.09658,0.76618,0.0143,0.91667,0.56097,0.55274,0.18286,3.31661,0.8556,4.82812e-05,4.82812e-05,4.82812e-05
17,88.3678,0.29385,3.14195,0.86525,0.01447,0.91667,0.55135,0.54313,0.17668,3.31969,0.86036,4.16e-05,4.16e-05,4.16e-05
18,92.8613,0.22767,3.0902,0.85179,0.01447,0.91667,0.55135,0.54313,0.17668,3.31969,0.86036,3.36813e-05,3.36813e-05,3.36813e-05
19,97.3504,0.25911,3.07683,0.82699,0.01619,0.91667,0.55164,0.55164,0.17643,3.31736,0.86283,2.4525e-05,2.4525e-05,2.4525e-05
20,101.956,0.27376,3.0277,0.83211,0.01619,0.91667,0.55164,0.55164,0.17643,3.31736,0.86283,1.41313e-05,1.41313e-05,1.41313e-05
