epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1112,2.03111,4.9798,1.46199,0,0,0,0,1.87091,5.20782,1.44519,0,0,0
2,21.2396,2.64675,5.30516,1.86894,0,0,0,0,1.84537,5.18761,1.43302,1.41485e-05,1.41485e-05,1.41485e-05
3,28.8123,2.42385,5.24468,1.53461,0,0,0,0,1.83957,5.1357,1.41505,2.80141e-05,2.80141e-05,2.80141e-05
4,35.5761,1.59853,5.61023,1.29441,0,0,0,0,1.75975,5.10681,1.39231,4.15968e-05,4.15968e-05,4.15968e-05
5,42.0221,2.66847,5.27306,1.62444,0,0,0,0,1.68131,5.0506,1.37411,5.48965e-05,5.48965e-05,5.48965e-05
6,48.2135,2.24214,5.00468,1.48857,0,0,0,0,1.67943,4.99611,1.35798,6.79132e-05,6.79132e-05,6.79132e-05
7,54.5453,1.80236,4.86191,1.24888,0,0,0,0,1.68993,4.95998,1.34335,8.0647e-05,8.0647e-05,8.0647e-05
8,60.6081,1.44732,4.69829,1.25767,0,0,0,0,1.69966,4.91883,1.31212,9.30979e-05,9.30979e-05,9.30979e-05
9,66.6886,1.33612,4.58317,1.13287,0,0,0,0,1.65656,4.8885,1.27027,0.000105266,0.000105266,0.000105266
10,72.8622,1.29667,4.64174,1.09324,0,0,0,0,1.61021,4.85397,1.22181,0.000117151,0.000117151,0.000117151
11,78.8452,1.16257,4.44663,1.02342,0,0,0,0,1.59528,4.81884,1.17528,0.000128753,0.000128753,0.000128753
12,84.9131,1.28973,4.56827,1.04251,0,0,0,0,1.51102,4.7515,1.09832,0.000140072,0.000140072,0.000140072
13,91.9205,1.27282,4.46019,0.98852,0.00028,0.02564,0.00015,0.00011,1.41289,4.61659,1.02447,0.000151108,0.000151108,0.000151108
14,98.447,1.40091,4.3661,1.04566,0.00027,0.02564,0.00015,0.00012,1.22175,4.53019,0.95959,0.000161861,0.000161861,0.000161861
15,104.504,1.17253,4.22922,1.0015,0.00053,0.05128,0.00031,0.00028,1.15793,4.45504,0.93742,0.000172332,0.000172332,0.000172332
16,110.713,1.14292,4.38065,0.93998,0.00103,0.10256,0.0007,0.00061,1.0809,4.38011,0.92324,0.000182519,0.000182519,0.000182519
17,116.887,0.84426,4.08138,0.89451,0.00132,0.12479,0.00089,0.00066,1.04414,4.35731,0.91646,0.000192423,0.000192423,0.000192423
18,122.835,1.13387,4.07925,0.91286,0.00132,0.12479,0.00089,0.00066,1.04414,4.35731,0.91646,0.000202045,0.000202045,0.000202045
19,128.887,1.46472,4.30104,1.0148,0.00139,0.11795,0.00192,0.00073,0.98278,4.31629,0.90808,0.000211383,0.000211383,0.000211383
20,135.017,0.92599,4.11291,0.9074,0.00139,0.11795,0.00192,0.00073,0.98278,4.31629,0.90808,0.000220439,0.000220439,0.000220439
21,141.231,1.1845,4.06305,0.92649,0.00137,0.11795,0.0026,0.00095,0.92778,4.30826,0.90153,0.000229212,0.000229212,0.000229212
22,147.212,0.99628,4.00135,0.86566,0.00137,0.11795,0.0026,0.00095,0.92778,4.30826,0.90153,0.000237701,0.000237701,0.000237701
23,153.842,1.32601,4.11055,0.93373,0.00139,0.11795,0.01011,0.00509,0.94721,4.27324,0.89512,0.000245908,0.000245908,0.000245908
24,159.823,1.33834,4.11877,0.93466,0.00139,0.11795,0.01011,0.00509,0.94721,4.27324,0.89512,0.000253832,0.000253832,0.000253832
25,165.836,1.10252,4.13067,0.85492,0.00166,0.14359,0.02978,0.01963,0.95423,4.25937,0.8887,0.000261473,0.000261473,0.000261473
26,172.026,1.07454,3.91311,0.89007,0.00166,0.14359,0.02978,0.01963,0.95423,4.25937,0.8887,0.000268831,0.000268831,0.000268831
27,178.047,1.01855,3.68175,0.92829,0.00222,0.18803,0.02901,0.01917,0.89989,4.23206,0.87839,0.000275906,0.000275906,0.000275906
28,184.178,0.9226,3.60984,0.86255,0.00222,0.18803,0.02901,0.01917,0.89989,4.23206,0.87839,0.000282698,0.000282698,0.000282698
29,189.89,1.22004,4.04492,0.86335,0.00225,0.18803,0.03021,0.01773,0.88127,4.20983,0.87059,0.000289207,0.000289207,0.000289207
30,195.601,0.79857,3.58558,0.86667,0.00225,0.18803,0.03021,0.01773,0.88127,4.20983,0.87059,0.000295433,0.000295433,0.000295433
31,201.416,0.93397,3.80591,0.86852,0.00173,0.14359,0.03046,0.01768,0.88334,4.212,0.86152,0.000301376,0.000301376,0.000301376
32,207.22,0.95411,3.61083,0.86576,0.00173,0.14359,0.03046,0.01768,0.88334,4.212,0.86152,0.000307036,0.000307036,0.000307036
33,213.867,0.98248,3.68109,0.86515,0.00168,0.14017,0.04409,0.01703,0.90881,4.19759,0.8586,0.000312414,0.000312414,0.000312414
34,220.345,0.96336,3.56986,0.87036,0.00168,0.14017,0.04409,0.01703,0.90881,4.19759,0.8586,0.000317508,0.000317508,0.000317508
35,226.37,0.95299,3.55841,0.87335,0.00167,0.14017,0.0348,0.00889,0.92038,4.20408,0.86366,0.00032232,0.00032232,0.00032232
36,232.402,0.98131,3.56757,0.86042,0.00167,0.14017,0.0348,0.00889,0.92038,4.20408,0.86366,0.000326848,0.000326848,0.000326848
37,238.413,0.94355,3.68536,0.82932,0.00115,0.09573,0.02593,0.00293,0.89024,4.20817,0.85954,0.000331094,0.000331094,0.000331094
38,244.342,0.90592,3.32131,0.82823,0.00115,0.09573,0.02593,0.00293,0.89024,4.20817,0.85954,0.000335056,0.000335056,0.000335056
39,250.299,1.06561,3.49914,0.83475,0.0005,0.04444,0.00067,0.00046,0.8798,4.20142,0.85829,0.000338736,0.000338736,0.000338736
40,256.238,0.98617,3.37628,0.81837,0.0005,0.04444,0.00067,0.00046,0.8798,4.20142,0.85829,0.000342133,0.000342133,0.000342133
41,262.636,1.02629,3.56146,0.84774,0.00132,0.11453,0.00233,0.00079,0.85609,4.17571,0.85252,0.000345246,0.000345246,0.000345246
42,268.479,0.95209,3.2763,0.84796,0.00132,0.11453,0.00233,0.00079,0.85609,4.17571,0.85252,0.000348077,0.000348077,0.000348077
43,274.419,0.99248,3.18571,0.84773,0.00049,0.04444,0.00381,0.00099,0.84436,4.14799,0.84819,0.000350625,0.000350625,0.000350625
44,280.66,0.94206,3.26199,0.84961,0.00049,0.04444,0.00381,0.00099,0.84436,4.14799,0.84819,0.00035289,0.00035289,0.00035289
45,286.778,0.84825,3.24532,0.87698,0.00098,0.08889,0.00421,0.00126,0.80325,4.12091,0.84354,0.000354872,0.000354872,0.000354872
46,292.811,0.92957,3.19182,0.85312,0.00098,0.08889,0.00421,0.00126,0.80325,4.12091,0.84354,0.000356571,0.000356571,0.000356571
47,298.975,1.036,3.11432,0.85314,0.00072,0.06667,0.00364,0.00132,0.74995,4.11115,0.83465,0.000357987,0.000357987,0.000357987
48,306.48,0.88581,3.00107,0.84149,0.00072,0.06667,0.00364,0.00132,0.74995,4.11115,0.83465,0.000359121,0.000359121,0.000359121
49,313.065,1.09086,3.13676,0.8366,0.00071,0.06667,0.00373,0.00146,0.74851,4.11319,0.83501,0.000359971,0.000359971,0.000359971
50,319.602,0.84428,2.833,0.89864,0.00071,0.06667,0.00373,0.00146,0.74851,4.11319,0.83501,0.000360538,0.000360538,0.000360538
51,326.245,0.77609,2.90689,0.85143,0.00071,0.06667,0.0062,0.002,0.77204,4.09203,0.83426,0.000360822,0.000360822,0.000360822
52,332.517,0.82373,2.68206,0.85091,0.00071,0.06667,0.0062,0.002,0.77204,4.09203,0.83426,0.000360824,0.000360824,0.000360824
53,338.731,0.85145,3.01907,0.8458,0.00071,0.06667,0.0062,0.002,0.77204,4.09203,0.83426,0.000360542,0.000360542,0.000360542
54,344.719,0.70884,2.9952,0.85332,0.00094,0.08889,0.01011,0.00207,0.79895,4.06922,0.83293,0.000359978,0.000359978,0.000359978
