epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.34563,1.69795,5.43363,1.42739,0,0,0,0,1.36409,5.04233,1.27411,0,0,0
2,10.9203,1.72813,5.21178,1.46856,0,0,0,0,1.34738,5.02858,1.26616,1.18812e-05,1.18812e-05,1.18812e-05
3,14.4311,2.11851,5.44256,1.53739,0,0,0,0,1.32176,5.01582,1.25447,2.2525e-05,2.2525e-05,2.2525e-05
4,17.873,1.54829,5.49999,1.27109,0,0,0,0,1.25081,5.01169,1.23457,3.19313e-05,3.19313e-05,3.19313e-05
5,21.8522,2.04705,5.93294,1.41845,0,0,0,0,1.22247,4.97637,1.22149,4.01e-05,4.01e-05,4.01e-05
6,25.5236,1.83188,5.13804,1.38854,0,0,0,0,1.14137,4.93138,1.18175,4.70313e-05,4.70313e-05,4.70313e-05
7,29.0272,1.58802,4.86879,1.21117,0,0,0,0,1.09167,4.89526,1.15807,5.2725e-05,5.2725e-05,5.2725e-05
8,32.7121,1.46644,4.63385,1.18905,0,0,0,0,1.06863,4.89942,1.1465,5.71813e-05,5.71813e-05,5.71813e-05
9,36.6751,1.40673,4.90867,1.15322,0,0,0,0,1.04107,4.85956,1.12239,6.04e-05,6.04e-05,6.04e-05
10,40.2349,1.48225,4.94067,1.1825,0,0,0,0,1.00784,4.79835,1.09808,6.23813e-05,6.23813e-05,6.23813e-05
11,43.8374,1.02418,4.96075,1.08502,0,0,0,0,0.94379,4.75484,1.07287,6.3125e-05,6.3125e-05,6.3125e-05
12,47.4632,1.07591,4.73471,1.0483,0,0,0,0,0.90086,4.70667,1.05053,6.26313e-05,6.26313e-05,6.26313e-05
13,51.2227,1.166,5.17022,1.01602,0,0,0,0,0.88385,4.67208,1.03433,6.09e-05,6.09e-05,6.09e-05
14,54.6738,0.87904,4.73637,0.96828,0,0,0,0,0.85742,4.66881,1.01767,5.79313e-05,5.79313e-05,5.79313e-05
15,58.1742,0.91793,4.71074,1.05905,0,0,0,0,0.83113,4.6478,1.00143,5.3725e-05,5.3725e-05,5.3725e-05
16,61.6587,0.94072,4.74846,0.96182,0,0,0,0,0.78612,4.67544,0.99881,4.82812e-05,4.82812e-05,4.82812e-05
17,65.1068,0.81155,4.3816,0.94095,0,0,0,0,0.74016,4.66132,0.98836,4.16e-05,4.16e-05,4.16e-05
18,68.4567,0.82201,4.49751,0.91412,0,0,0,0,0.74016,4.66132,0.98836,3.36813e-05,3.36813e-05,3.36813e-05
19,72.06,0.8487,4.68662,0.90885,0,0,0,0,0.71785,4.60423,0.98656,2.4525e-05,2.4525e-05,2.4525e-05
20,75.4526,0.94298,4.59919,0.93562,0,0,0,0,0.71785,4.60423,0.98656,1.41313e-05,1.41313e-05,1.41313e-05
