epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.91194,1.83728,5.26256,1.67443,0,0,0,0,1.80965,4.98589,1.48253,0,0,0
2,6.32831,1.48754,4.7647,1.32297,0,0,0,0,1.84596,4.98903,1.48863,9.00001e-06,9.00001e-06,9.00001e-06
3,7.79606,1.45006,5.01455,1.19513,0,0,0,0,1.8388,5.00306,1.47695,1.782e-05,1.782e-05,1.782e-05
4,9.26154,1.42926,5.02151,1.33848,0,0,0,0,1.75443,4.99545,1.43742,2.64601e-05,2.64601e-05,2.64601e-05
5,10.6962,1.8143,4.84323,1.37337,0,0,0,0,1.6278,4.99232,1.38032,3.49201e-05,3.49201e-05,3.49201e-05
6,12.1096,1.51666,5.16269,1.24138,0,0,0,0,1.4895,4.93013,1.31168,4.32002e-05,4.32002e-05,4.32002e-05
7,13.8877,1.69321,4.78939,1.39607,0,0,0,0,1.40869,4.83347,1.26018,5.13003e-05,5.13003e-05,5.13003e-05
8,15.421,1.50725,4.85382,1.32563,0,0,0,0,1.34903,4.78889,1.23053,5.92204e-05,5.92204e-05,5.92204e-05
9,16.8857,1.48664,4.86847,1.3433,0,0,0,0,1.34886,4.75924,1.21703,6.69606e-05,6.69606e-05,6.69606e-05
10,18.51,0.8532,4.48607,1.03964,0,0,0,0,1.38688,4.71062,1.18453,7.45207e-05,7.45207e-05,7.45207e-05
11,20.0479,1.3074,4.5836,1.00742,0,0,0,0,1.17717,4.65248,1.07238,8.19009e-05,8.19009e-05,8.19009e-05
12,21.5236,1.09337,4.30098,1.14766,0,0,0,0,1.1079,4.59938,1.04379,8.91011e-05,8.91011e-05,8.91011e-05
13,23.0489,1.83287,5.1243,1.1798,0,0,0,0,1.12482,4.58342,1.01796,9.61213e-05,9.61213e-05,9.61213e-05
14,24.5654,1.17138,4.39023,1.15814,0,0,0,0,1.10446,4.56062,1.00585,0.000102962,0.000102962,0.000102962
15,25.986,1.3716,4.82621,1.31985,0,0,0,0,1.12616,4.52325,1.00586,0.000109622,0.000109622,0.000109622
16,27.4589,1.14399,4.46617,1.11941,0,0,0,0,1.08718,4.48428,0.97256,0.000116102,0.000116102,0.000116102
17,28.9148,1.42223,4.30484,1.07506,0,0,0,0,1.03608,4.44683,0.95978,0.000122402,0.000122402,0.000122402
18,30.2986,1.10068,4.48032,1.06405,0,0,0,0,1.03608,4.44683,0.95978,0.000128523,0.000128523,0.000128523
19,31.7359,1.8904,6.28263,1.0013,0,0,0,0,0.97999,4.42286,0.9513,0.000134463,0.000134463,0.000134463
20,33.1803,0.70583,4.16468,0.9577,0,0,0,0,0.97999,4.42286,0.9513,0.000140223,0.000140223,0.000140223
21,34.6938,1.31807,4.08339,1.07883,0,0,0,0,0.87624,4.41117,0.94383,0.000145804,0.000145804,0.000145804
22,36.1735,1.16528,4.4244,1.05595,0,0,0,0,0.87624,4.41117,0.94383,0.000151204,0.000151204,0.000151204
23,37.7167,1.41126,4.51595,1.08022,0,0,0,0,0.80344,4.42242,0.93235,0.000156424,0.000156424,0.000156424
24,39.332,1.42934,4.30885,1.1728,0,0,0,0,0.80344,4.42242,0.93235,0.000161465,0.000161465,0.000161465
25,40.8671,0.8508,4.17297,1.00599,0,0,0,0,0.77463,4.41931,0.92063,0.000166325,0.000166325,0.000166325
26,42.2107,0.94949,4.20981,1.00129,0,0,0,0,0.77463,4.41931,0.92063,0.000171006,0.000171006,0.000171006
27,43.6936,0.93897,4.1325,0.87231,0,0,0,0,0.75002,4.42034,0.91679,0.000175506,0.000175506,0.000175506
28,45.0646,0.97185,4.27296,0.96768,0,0,0,0,0.75002,4.42034,0.91679,0.000179827,0.000179827,0.000179827
29,46.5854,0.78189,4.44479,0.93365,0,0,0,0,0.73945,4.43431,0.91484,0.000183967,0.000183967,0.000183967
30,48.1171,1.03473,4.3556,1.14092,0,0,0,0,0.73945,4.43431,0.91484,0.000187928,0.000187928,0.000187928
31,49.6826,1.1015,3.96935,0.9294,0,0,0,0,0.71204,4.44611,0.90442,0.000191708,0.000191708,0.000191708
32,51.2064,1.21325,3.94649,0.95987,0,0,0,0,0.71204,4.44611,0.90442,0.000195309,0.000195309,0.000195309
33,52.7164,1.18338,4.52405,0.89436,0,0,0,0,0.70227,4.45098,0.8957,0.000198729,0.000198729,0.000198729
34,54.0564,1.04456,3.99063,1.01418,0,0,0,0,0.70227,4.45098,0.8957,0.00020197,0.00020197,0.00020197
35,55.507,1.01408,3.97235,1.02661,0,0,0,0,0.65715,4.44542,0.88644,0.00020503,0.00020503,0.00020503
36,56.8904,0.91208,3.99757,0.99557,0,0,0,0,0.65715,4.44542,0.88644,0.000207911,0.000207911,0.000207911
37,58.3802,1.03431,3.74333,0.95051,0,0,0,0,0.6316,4.41289,0.88716,0.000210612,0.000210612,0.000210612
38,59.7901,0.75451,3.62271,0.93339,0,0,0,0,0.6316,4.41289,0.88716,0.000213132,0.000213132,0.000213132
39,61.2054,0.94407,3.71486,1.01319,0,0,0,0,0.72764,4.40066,0.90718,0.000215473,0.000215473,0.000215473
40,62.553,0.88391,3.77288,0.86273,0,0,0,0,0.72764,4.40066,0.90718,0.000217634,0.000217634,0.000217634
41,64.0481,0.80987,3.63086,0.89086,0,0,0,0,0.76459,4.38854,0.92316,0.000219614,0.000219614,0.000219614
42,65.42,1.20448,4.03943,1.04336,0,0,0,0,0.76459,4.38854,0.92316,0.000221415,0.000221415,0.000221415
43,66.9208,0.75818,3.17986,0.87192,0,0,0,0,0.7681,4.38873,0.92317,0.000223036,0.000223036,0.000223036
44,68.3147,0.66295,3.23312,0.8769,0,0,0,0,0.7681,4.38873,0.92317,0.000224477,0.000224477,0.000224477
45,69.817,1.30856,4.54454,1.13483,0,0,0,0,0.74763,4.3693,0.9239,0.000225737,0.000225737,0.000225737
46,71.2247,0.9948,4.26673,0.83349,0,0,0,0,0.74763,4.3693,0.9239,0.000226818,0.000226818,0.000226818
47,72.6294,0.78204,3.60895,0.95913,0,0,0,0,0.74338,4.35675,0.92092,0.000227719,0.000227719,0.000227719
48,74.0034,0.95148,3.54021,0.84917,0,0,0,0,0.74338,4.35675,0.92092,0.00022844,0.00022844,0.00022844
49,75.4671,1.15404,3.79344,0.96979,0,0,0,0,0.72425,4.34765,0.91769,0.000228981,0.000228981,0.000228981
50,76.8117,0.68372,2.83702,0.86505,0,0,0,0,0.72425,4.34765,0.91769,0.000229342,0.000229342,0.000229342
51,78.2999,1.06995,3.9569,0.89484,0.2,0.06667,0.13333,0.06667,0.70955,4.31206,0.91031,0.000229523,0.000229523,0.000229523
52,79.6696,0.65177,3.53056,0.89637,0.2,0.06667,0.13333,0.06667,0.70955,4.31206,0.91031,0.000229523,0.000229523,0.000229523
53,81.3148,0.53881,2.96222,0.89289,0.2,0.06667,0.13333,0.06667,0.70955,4.31206,0.91031,0.000229344,0.000229344,0.000229344
54,82.9842,0.76721,3.25655,0.84986,0.2,0.06667,0.13333,0.06667,0.6655,4.29902,0.89732,0.000228985,0.000228985,0.000228985
55,84.5147,0.94503,3.31488,0.91626,0.2,0.06667,0.13333,0.06667,0.6655,4.29902,0.89732,0.000228446,0.000228446,0.000228446
56,85.9705,0.76163,3.33732,0.91094,0.2,0.06667,0.13333,0.06667,0.6655,4.29902,0.89732,0.000227727,0.000227727,0.000227727
57,87.5525,1.22554,3.52465,0.9977,0.2,0.06667,0.13333,0.12,0.61387,4.28006,0.88472,0.000226828,0.000226828,0.000226828
58,89.1774,0.87906,3.61185,0.92383,0.2,0.06667,0.13333,0.12,0.61387,4.28006,0.88472,0.000225749,0.000225749,0.000225749
59,90.6751,0.77021,3.2287,0.86264,0.2,0.06667,0.13333,0.12,0.61387,4.28006,0.88472,0.00022449,0.00022449,0.00022449
60,92.1605,0.67578,3.17311,0.89006,0.1,0.06667,0.10016,0.10017,0.59272,4.26944,0.87825,0.000223051,0.000223051,0.000223051
61,93.6396,0.90327,3.19923,0.88209,0.1,0.06667,0.10016,0.10017,0.59272,4.26944,0.87825,0.000221432,0.000221432,0.000221432
62,95.036,0.66658,3.34603,0.87249,0.1,0.06667,0.10016,0.10017,0.59272,4.26944,0.87825,0.000219633,0.000219633,0.000219633
63,96.5721,0.99618,3.34039,0.90162,0.1,0.06667,0.10016,0.09015,0.61031,4.234,0.8756,0.000217655,0.000217655,0.000217655
64,98.3992,0.94348,3.40012,0.93343,0.1,0.06667,0.10016,0.09015,0.61031,4.234,0.8756,0.000215496,0.000215496,0.000215496
65,100.003,0.91058,2.89474,0.87309,0.1,0.06667,0.10016,0.09015,0.61031,4.234,0.8756,0.000213157,0.000213157,0.000213157
66,101.713,0.77059,3.27123,0.84022,0.05064,0.16667,0.18275,0.16447,0.65062,4.21451,0.87662,0.000210638,0.000210638,0.000210638
67,103.558,1.00615,3.34178,0.87201,0.05064,0.16667,0.18275,0.16447,0.65062,4.21451,0.87662,0.000207939,0.000207939,0.000207939
68,105.43,0.82964,3.24142,0.83976,0.05064,0.16667,0.18275,0.16447,0.65062,4.21451,0.87662,0.00020506,0.00020506,0.00020506
69,107.758,0.91253,3.33347,0.88729,0.04066,0.16667,0.17943,0.16149,0.67216,4.17967,0.88166,0.000202002,0.000202002,0.000202002
70,109.417,0.70167,2.87283,0.85872,0.04066,0.16667,0.17943,0.16149,0.67216,4.17967,0.88166,0.000198763,0.000198763,0.000198763
71,110.874,0.63919,2.73675,0.83177,0.04066,0.16667,0.17943,0.16149,0.67216,4.17967,0.88166,0.000195344,0.000195344,0.000195344
72,112.563,0.85855,3.31682,0.8673,0.034,0.16667,0.17723,0.1517,0.6959,4.13604,0.88988,0.000191745,0.000191745,0.000191745
73,114.068,1.02879,3.13654,0.86587,0.034,0.16667,0.17723,0.1517,0.6959,4.13604,0.88988,0.000187967,0.000187967,0.000187967
74,115.582,1.15487,3.59518,0.86437,0.034,0.16667,0.17723,0.1517,0.6959,4.13604,0.88988,0.000184008,0.000184008,0.000184008
75,117.206,0.79459,2.96729,0.79554,0.03707,0.23333,0.2053,0.17644,0.6933,4.09295,0.88355,0.000179869,0.000179869,0.000179869
76,118.636,0.54399,3.02454,0.81966,0.03707,0.23333,0.2053,0.17644,0.6933,4.09295,0.88355,0.000175551,0.000175551,0.000175551
77,120.055,0.62574,2.70454,0.80283,0.03707,0.23333,0.2053,0.17644,0.6933,4.09295,0.88355,0.000171052,0.000171052,0.000171052
78,121.529,0.95133,3.09596,0.9119,0.04358,0.3,0.26519,0.23802,0.66123,4.0369,0.87946,0.000166373,0.000166373,0.000166373
79,123.009,0.88055,3.52208,0.93998,0.04358,0.3,0.26519,0.23802,0.66123,4.0369,0.87946,0.000161515,0.000161515,0.000161515
80,124.454,1.15519,3.36955,0.92214,0.04358,0.3,0.26519,0.23802,0.66123,4.0369,0.87946,0.000156476,0.000156476,0.000156476
81,125.918,0.96553,3.03753,0.84768,0.03605,0.3,0.29819,0.26766,0.63529,3.99681,0.88024,0.000151258,0.000151258,0.000151258
82,127.306,0.94181,3.32391,0.85548,0.03605,0.3,0.29819,0.26766,0.63529,3.99681,0.88024,0.000145859,0.000145859,0.000145859
83,128.72,0.84803,2.72667,0.73923,0.03605,0.3,0.29819,0.26766,0.63529,3.99681,0.88024,0.000140281,0.000140281,0.000140281
84,130.207,0.67038,2.89124,0.90742,0.03077,0.3,0.2982,0.25768,0.61077,3.94196,0.87773,0.000134522,0.000134522,0.000134522
85,131.611,0.62101,2.57347,0.8529,0.03077,0.3,0.2982,0.25768,0.61077,3.94196,0.87773,0.000128584,0.000128584,0.000128584
86,132.999,0.54548,2.74122,0.80936,0.03077,0.3,0.2982,0.25768,0.61077,3.94196,0.87773,0.000122465,0.000122465,0.000122465
87,134.337,0.90009,3.12528,0.8811,0.03077,0.3,0.2982,0.25768,0.61077,3.94196,0.87773,0.000116167,0.000116167,0.000116167
88,135.837,0.82445,3.14857,0.83561,1,0.11603,0.30821,0.2676,0.59617,3.85176,0.87515,0.000109688,0.000109688,0.000109688
89,137.348,0.71406,2.99567,0.7864,1,0.11603,0.30821,0.2676,0.59617,3.85176,0.87515,0.00010303,0.00010303,0.00010303
90,138.706,0.62979,2.62423,0.84277,1,0.11603,0.30821,0.2676,0.59617,3.85176,0.87515,9.61913e-05,9.61913e-05,9.61913e-05
91,140.084,0.78115,2.92429,0.8184,1,0.11603,0.30821,0.2676,0.59617,3.85176,0.87515,8.91729e-05,8.91729e-05,8.91729e-05
92,141.598,0.68917,2.73912,0.82289,1,0.10596,0.31536,0.2747,0.5845,3.77005,0.87524,8.19745e-05,8.19745e-05,8.19745e-05
93,143.043,0.59753,2.53309,0.81012,1,0.10596,0.31536,0.2747,0.5845,3.77005,0.87524,7.45962e-05,7.45962e-05,7.45962e-05
94,144.457,0.71901,2.6004,0.85077,1,0.10596,0.31536,0.2747,0.5845,3.77005,0.87524,6.70378e-05,6.70378e-05,6.70378e-05
95,145.848,0.94048,3.34568,0.87534,1,0.10596,0.31536,0.2747,0.5845,3.77005,0.87524,5.92995e-05,5.92995e-05,5.92995e-05
96,147.302,0.58232,2.60901,0.8326,1,0.12021,0.36562,0.32841,0.56873,3.71428,0.87314,5.13812e-05,5.13812e-05,5.13812e-05
97,148.676,0.68123,2.44559,0.88882,1,0.12021,0.36562,0.32841,0.56873,3.71428,0.87314,4.32829e-05,4.32829e-05,4.32829e-05
98,150.096,0.75379,2.65542,0.77873,1,0.12021,0.36562,0.32841,0.56873,3.71428,0.87314,3.50047e-05,3.50047e-05,3.50047e-05
99,151.452,0.60087,2.48798,0.83038,1,0.12021,0.36562,0.32841,0.56873,3.71428,0.87314,2.65464e-05,2.65464e-05,2.65464e-05
100,152.934,0.61956,2.60832,0.86279,1,0.12949,0.36561,0.33926,0.5748,3.64847,0.87159,1.79082e-05,1.79082e-05,1.79082e-05
