epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.21484,1.75963,5.71871,1.50469,0,0,0,0,1.90641,5.78089,1.48281,0,0,0
2,6.66038,1.97516,5.12818,1.42992,0,0,0,0,1.96544,5.76274,1.52069,9.00001e-06,9.00001e-06,9.00001e-06
3,8.12352,2.32014,6.51938,1.53427,0,0,0,0,1.99274,5.74993,1.54418,1.782e-05,1.782e-05,1.782e-05
4,9.50209,2.13401,5.66832,1.71358,0,0,0,0,1.93269,5.71752,1.53058,2.64601e-05,2.64601e-05,2.64601e-05
5,10.9168,2.56671,5.43292,1.51578,0,0,0,0,1.81283,5.69142,1.4858,3.49201e-05,3.49201e-05,3.49201e-05
6,12.3262,1.73827,5.91601,1.28897,0,0,0,0,1.65965,5.62223,1.41865,4.32002e-05,4.32002e-05,4.32002e-05
7,13.7465,2.3087,5.39674,1.55925,0,0,0,0,1.52924,5.58091,1.36742,5.13003e-05,5.13003e-05,5.13003e-05
8,15.1671,1.31137,5.3246,1.18505,0,0,0,0,1.43621,5.51251,1.32345,5.92204e-05,5.92204e-05,5.92204e-05
9,16.5869,1.79342,5.28732,1.35746,0,0,0,0,1.43789,5.35925,1.25511,6.69606e-05,6.69606e-05,6.69606e-05
10,18.0026,1.3925,5.29731,1.29171,0,0,0,0,1.25922,5.29228,1.20506,7.45207e-05,7.45207e-05,7.45207e-05
11,19.4314,1.44318,5.09833,1.14998,0,0,0,0,1.30654,5.27328,1.18462,8.19009e-05,8.19009e-05,8.19009e-05
12,20.8508,1.12632,4.61462,1.0407,0,0,0,0,1.2922,5.23934,1.15796,8.91011e-05,8.91011e-05,8.91011e-05
13,22.3289,2.12883,5.42256,1.28766,0,0,0,0,1.36012,5.18314,1.13359,9.61213e-05,9.61213e-05,9.61213e-05
14,23.7966,1.26414,4.74294,1.16641,0,0,0,0,1.39225,5.13675,1.09674,0.000102962,0.000102962,0.000102962
15,25.1905,1.33462,5.40381,1.22711,0,0,0,0,1.392,4.99378,1.06658,0.000109622,0.000109622,0.000109622
16,26.6475,1.66215,4.93663,1.30155,0,0,0,0,1.32467,4.999,1.04256,0.000116102,0.000116102,0.000116102
17,28.0816,1.39573,4.78649,1.07741,0,0,0,0,1.34722,4.96208,1.05025,0.000122402,0.000122402,0.000122402
18,29.4104,1.3085,4.93258,1.09445,0,0,0,0,1.34722,4.96208,1.05025,0.000128523,0.000128523,0.000128523
19,30.8705,2.58539,7.36959,1.17538,0,0,0,0,1.24703,4.91104,1.04436,0.000134463,0.000134463,0.000134463
20,32.2533,0.82444,4.74374,1.02103,0,0,0,0,1.24703,4.91104,1.04436,0.000140223,0.000140223,0.000140223
21,33.7092,1.22182,4.62542,1.02132,0,0,0,0,1.20411,4.83787,1.01497,0.000145804,0.000145804,0.000145804
22,35.082,1.29815,5.02373,1.03403,0,0,0,0,1.20411,4.83787,1.01497,0.000151204,0.000151204,0.000151204
23,36.5619,1.7436,5.3259,1.15004,0,0,0,0,1.16345,4.81276,0.99492,0.000156424,0.000156424,0.000156424
24,37.9042,1.60751,4.72837,1.12508,0,0,0,0,1.16345,4.81276,0.99492,0.000161465,0.000161465,0.000161465
25,39.4064,1.17651,4.71023,1.04222,0,0,0,0,1.13016,4.77817,0.9873,0.000166325,0.000166325,0.000166325
26,40.7893,1.0686,4.65668,0.99463,0,0,0,0,1.13016,4.77817,0.9873,0.000171006,0.000171006,0.000171006
27,42.2772,1.21053,4.64888,0.95297,0,0,0,0,1.08016,4.68753,0.96938,0.000175506,0.000175506,0.000175506
28,43.6524,1.16845,4.62902,0.93796,0,0,0,0,1.08016,4.68753,0.96938,0.000179827,0.000179827,0.000179827
29,45.1597,1.04927,4.61677,0.95445,0,0,0,0,0.98674,4.65146,0.95477,0.000183967,0.000183967,0.000183967
30,46.5518,1.24208,4.20531,1.15615,0,0,0,0,0.98674,4.65146,0.95477,0.000187928,0.000187928,0.000187928
31,48.0544,1.02163,4.52132,0.90401,0,0,0,0,0.9943,4.636,0.94972,0.000191708,0.000191708,0.000191708
32,49.5026,1.59206,4.74136,1.00594,0,0,0,0,0.9943,4.636,0.94972,0.000195309,0.000195309,0.000195309
33,51.0016,1.50737,4.99758,0.97153,0,0,0,0,1.01731,4.64373,0.94635,0.000198729,0.000198729,0.000198729
