epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.48063,1.09239,3.5025,1.58614,0.00446,1,0.19007,0.08889,1.06474,4.07838,1.14646,0,0,0
2,7.26663,0.66223,3.22644,1.19923,0.00258,0.75,0.30934,0.16009,1.02225,4.06982,1.13178,1.18812e-05,1.18812e-05,1.18812e-05
3,8.95399,1.11617,3.59464,1.48432,0.00227,0.75,0.31627,0.16204,0.9876,4.05447,1.13827,2.2525e-05,2.2525e-05,2.2525e-05
4,10.6615,0.54061,3.14286,1.12218,0.00212,0.75,0.31232,0.18297,0.92093,4.02136,1.09538,3.19313e-05,3.19313e-05,3.19313e-05
5,12.3674,1.07636,3.29282,1.34915,0.0021,0.75,0.31313,0.18378,0.88573,4.04801,1.09467,4.01e-05,4.01e-05,4.01e-05
6,14.0685,1.0136,3.54808,1.39851,0.00209,0.75,0.29892,0.19586,0.88601,4.06825,1.09196,4.70313e-05,4.70313e-05,4.70313e-05
7,15.7429,0.50981,3.15086,1.1427,0.00207,0.75,0.34549,0.27441,0.83589,4.01686,1.03936,5.2725e-05,5.2725e-05,5.2725e-05
8,17.4292,0.77976,3.15758,1.25667,0.00216,0.75,0.32557,0.2696,0.81113,3.99954,0.984,5.71813e-05,5.71813e-05,5.71813e-05
9,19.1342,0.49621,3.143,1.0316,0.00217,0.75,0.27919,0.2524,0.75566,3.97299,0.90275,6.04e-05,6.04e-05,6.04e-05
10,20.7905,0.70608,3.17758,1.22058,0.00232,0.75,0.27777,0.25124,0.70089,3.94122,0.85106,6.23813e-05,6.23813e-05,6.23813e-05
11,22.4861,0.53544,3.77736,1.18485,0.00236,0.75,0.27836,0.25171,0.65377,3.91872,0.8061,6.3125e-05,6.3125e-05,6.3125e-05
12,24.2012,0.43407,4.18951,1.39914,0.00234,0.75,0.28444,0.28195,0.61999,3.91599,0.78196,6.26313e-05,6.26313e-05,6.26313e-05
13,25.8785,0.35252,3.78666,1.08306,0.00228,0.75,0.19347,0.17136,0.58076,3.89871,0.75215,6.09e-05,6.09e-05,6.09e-05
14,27.5667,0.31029,4.05313,1.0626,0.0024,0.75,0.22991,0.20572,0.55394,3.90507,0.71052,5.79313e-05,5.79313e-05,5.79313e-05
15,29.2834,0.63955,3.89685,1.3014,0.00243,0.75,0.27136,0.25214,0.53556,3.90346,0.6954,5.3725e-05,5.3725e-05,5.3725e-05
16,30.9831,0.4108,4.21221,1.22165,0.00238,0.75,0.27363,0.25621,0.50999,3.90007,0.68418,4.82812e-05,4.82812e-05,4.82812e-05
17,32.6697,0.2556,3.66371,0.84776,0.00235,0.75,0.27363,0.2587,0.49331,3.88199,0.69081,4.16e-05,4.16e-05,4.16e-05
18,34.3824,0.25198,3.67706,1.0251,0.00235,0.75,0.27363,0.2587,0.49331,3.88199,0.69081,3.36813e-05,3.36813e-05,3.36813e-05
19,36.0704,0.29307,3.65404,1.02663,0.00234,0.75,0.39574,0.39574,0.44568,3.88719,0.67516,2.4525e-05,2.4525e-05,2.4525e-05
20,37.7303,0.30597,3.69261,1.03396,0.00234,0.75,0.39574,0.39574,0.44568,3.88719,0.67516,1.41313e-05,1.41313e-05,1.41313e-05
