epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5383,1.90181,5.04264,1.4756,0,0,0,0,1.49566,5.2257,1.45174,0,0,0
2,22.1561,2.43188,5.37826,1.77616,0,0,0,0,1.47473,5.19989,1.44046,1.35826e-05,1.35826e-05,1.35826e-05
3,31.9153,2.14029,5.12256,1.51936,0,0,0,0,1.45165,5.16477,1.42461,2.57506e-05,2.57506e-05,2.57506e-05
4,41.8635,1.56426,5.82427,1.241,0,0,0,0,1.40845,5.13457,1.40653,3.65038e-05,3.65038e-05,3.65038e-05
5,50.637,1.92325,5.14672,1.38901,0,0,0,0,1.39078,5.10517,1.37749,4.58423e-05,4.58423e-05,4.58423e-05
6,59.808,1.3614,4.80928,1.24977,0,0,0,0,1.35936,5.09165,1.33963,5.37661e-05,5.37661e-05,5.37661e-05
7,69.1,1.56252,4.85059,1.22853,0,0,0,0,1.34357,5.06165,1.30295,6.02752e-05,6.02752e-05,6.02752e-05
8,78.3124,1.25243,4.81861,1.17546,0,0,0,0,1.26424,4.98436,1.24809,6.53696e-05,6.53696e-05,6.53696e-05
9,87.4448,1.29195,4.69676,1.19201,0,0,0,0,1.26654,4.91516,1.21762,6.90493e-05,6.90493e-05,6.90493e-05
10,96.5724,1.20762,4.75938,1.10358,0,0,0,0,1.24066,4.86584,1.17989,7.13142e-05,7.13142e-05,7.13142e-05
11,105.731,1.20643,5.0009,1.06355,0,0,0,0,1.17067,4.7967,1.13342,7.21645e-05,7.21645e-05,7.21645e-05
12,115.218,0.96994,4.94802,1.02408,0,0,0,0,1.1003,4.77151,1.10044,7.16e-05,7.16e-05,7.16e-05
13,124.11,1.00451,4.74346,0.98861,0,0,0,0,1.00517,4.7225,1.06351,6.96209e-05,6.96209e-05,6.96209e-05
14,133.004,0.96515,4.63524,0.96613,0,0,0,0,0.90134,4.68171,1.01507,6.6227e-05,6.6227e-05,6.6227e-05
15,141.73,1.06927,4.8854,0.94467,0,0,0,0,0.83963,4.60746,0.97197,6.14184e-05,6.14184e-05,6.14184e-05
16,150.571,0.91071,4.62062,0.91301,0,0,0,0,0.79154,4.54406,0.94549,5.51951e-05,5.51951e-05,5.51951e-05
17,160.275,0.8144,4.43126,0.97387,0,0,0,0,0.76455,4.50183,0.93029,4.75571e-05,4.75571e-05,4.75571e-05
18,169.161,0.9034,4.44281,0.9357,0,0,0,0,0.76455,4.50183,0.93029,3.85044e-05,3.85044e-05,3.85044e-05
19,177.934,0.93517,4.63005,0.98769,0,0,0,0,0.7438,4.48227,0.92144,2.8037e-05,2.8037e-05,2.8037e-05
20,186.427,0.93093,4.71179,0.91773,0,0,0,0,0.7438,4.48227,0.92144,1.61548e-05,1.61548e-05,1.61548e-05
