epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,75.0915,0.56477,3.77066,0.83173,0.00098,0.04,0.0069,0.00414,0.9492,4.4278,0.92777,0.000224477,0.000224477,0.000224477
45,76.7292,1.68489,4.8693,1.16975,0.00106,0.04,0.01018,0.00407,0.90892,4.41684,0.91854,0.000225737,0.000225737,0.000225737
46,78.234,1.34409,4.25626,0.88072,0.00106,0.04,0.01018,0.00407,0.90892,4.41684,0.91854,0.000226818,0.000226818,0.000226818
47,79.7687,0.81312,3.64129,0.94454,0.0011,0.04,0.0102,0.00306,0.88106,4.3934,0.90859,0.000227719,0.000227719,0.000227719
48,81.2419,1.12738,3.98055,0.91342,0.0011,0.04,0.0102,0.00306,0.88106,4.3934,0.90859,0.00022844,0.00022844,0.00022844
49,82.8054,1.44921,4.0948,0.95922,0.00118,0.04,0.01348,0.00135,0.85457,4.38502,0.90169,0.000228981,0.000228981,0.000228981
50,84.2526,0.63859,3.44098,0.82504,0.00118,0.04,0.01348,0.00135,0.85457,4.38502,0.90169,0.000229342,0.000229342,0.000229342
51,85.7765,1.48281,4.12697,0.92811,0.00118,0.04,0.01348,0.00135,0.84268,4.37125,0.89753,0.000229523,0.000229523,0.000229523
52,87.218,0.82448,3.67918,0.9608,0.00118,0.04,0.01348,0.00135,0.84268,4.37125,0.89753,0.000229523,0.000229523,0.000229523
53,88.7618,0.52866,3.48084,0.87804,0.00118,0.04,0.01348,0.00135,0.84268,4.37125,0.89753,0.000229344,0.000229344,0.000229344
54,90.2847,0.85485,3.54747,0.82546,0.00131,0.04,0.02003,0.002,0.83146,4.3571,0.89139,0.000228985,0.000228985,0.000228985
55,91.7539,0.73594,3.50859,0.85646,0.00131,0.04,0.02003,0.002,0.83146,4.3571,0.89139,0.000228446,0.000228446,0.000228446
56,93.1781,0.81699,3.43855,0.83232,0.00131,0.04,0.02003,0.002,0.83146,4.3571,0.89139,0.000227727,0.000227727,0.000227727
57,94.7879,1.38756,3.95249,0.92872,0.00131,0.04,0.02003,0.002,0.84591,4.34102,0.89512,0.000226828,0.000226828,0.000226828
58,96.2618,1.1319,3.76291,0.89891,0.00131,0.04,0.02003,0.002,0.84591,4.34102,0.89512,0.000225749,0.000225749,0.000225749
59,97.7306,1.22221,4.00328,0.94319,0.00131,0.04,0.02003,0.002,0.84591,4.34102,0.89512,0.00022449,0.00022449,0.00022449
60,99.2681,0.75846,3.08943,0.83943,0.00131,0.04,0.02003,0.002,0.91314,4.3412,0.90061,0.000223051,0.000223051,0.000223051
61,100.856,1.24693,3.62493,0.8805,0.00131,0.04,0.02003,0.002,0.91314,4.3412,0.90061,0.000221432,0.000221432,0.000221432
62,102.328,0.76986,3.32185,0.84439,0.00131,0.04,0.02003,0.002,0.91314,4.3412,0.90061,0.000219633,0.000219633,0.000219633
63,103.901,0.95129,3.09423,0.86582,0.00131,0.04,0.02003,0.002,0.95563,4.31582,0.90329,0.000217655,0.000217655,0.000217655
64,105.377,1.02103,3.89949,0.97888,0.00131,0.04,0.02003,0.002,0.95563,4.31582,0.90329,0.000215496,0.000215496,0.000215496
65,106.85,1.30212,3.12775,0.91312,0.00131,0.04,0.02003,0.002,0.95563,4.31582,0.90329,0.000213157,0.000213157,0.000213157
66,108.428,0.99794,3.64254,0.83432,0.02222,0.1,0.10467,0.08373,0.9429,4.28724,0.89731,0.000210638,0.000210638,0.000210638
67,109.915,1.52742,4.08582,0.9476,0.02222,0.1,0.10467,0.08373,0.9429,4.28724,0.89731,0.000207939,0.000207939,0.000207939
68,111.352,1.03689,3.40551,0.85641,0.02222,0.1,0.10467,0.08373,0.9429,4.28724,0.89731,0.00020506,0.00020506,0.00020506
69,113.045,1.52983,3.65807,0.94681,0.01746,0.15,0.15255,0.12697,0.99237,4.25691,0.90355,0.000202002,0.000202002,0.000202002
70,114.609,0.56776,2.87527,0.82881,0.01746,0.15,0.15255,0.12697,0.99237,4.25691,0.90355,0.000198763,0.000198763,0.000198763
71,116.027,0.63638,3.06952,0.8525,0.01746,0.15,0.15255,0.12697,0.99237,4.25691,0.90355,0.000195344,0.000195344,0.000195344
72,117.607,0.7633,3.39292,0.849,0.02303,0.25,0.24831,0.22347,0.95654,4.21088,0.89682,0.000191745,0.000191745,0.000191745
73,119.167,1.09322,3.62198,0.90619,0.02303,0.25,0.24831,0.22347,0.95654,4.21088,0.89682,0.000187967,0.000187967,0.000187967
74,120.612,1.29922,3.61473,0.83764,0.02303,0.25,0.24831,0.22347,0.95654,4.21088,0.89682,0.000184008,0.000184008,0.000184008
75,122.223,0.97492,3.17314,0.80868,0.0198,0.29,0.2498,0.22482,0.93126,4.17861,0.89552,0.000179869,0.000179869,0.000179869
76,123.673,0.7768,3.1235,0.82227,0.0198,0.29,0.2498,0.22482,0.93126,4.17861,0.89552,0.000175551,0.000175551,0.000175551
77,125.124,0.54985,2.90954,0.77346,0.0198,0.29,0.2498,0.22482,0.93126,4.17861,0.89552,0.000171052,0.000171052,0.000171052
78,126.671,1.77538,3.77349,0.95792,0.01617,0.29,0.25544,0.23502,0.89347,4.13975,0.88573,0.000166373,0.000166373,0.000166373
79,128.172,1.59868,3.64075,1.01921,0.01617,0.29,0.25544,0.23502,0.89347,4.13975,0.88573,0.000161515,0.000161515,0.000161515
80,129.714,1.32466,3.68358,0.88298,0.01617,0.29,0.25544,0.23502,0.89347,4.13975,0.88573,0.000156476,0.000156476,0.000156476
81,131.263,0.90881,3.49199,0.8591,0.01205,0.29,0.28791,0.27902,0.87806,4.10192,0.8819,0.000151258,0.000151258,0.000151258
82,132.759,0.93308,3.39632,0.84687,0.01205,0.29,0.28791,0.27902,0.87806,4.10192,0.8819,0.000145859,0.000145859,0.000145859
83,134.305,1.33312,3.42033,0.89203,0.01205,0.29,0.28791,0.27902,0.87806,4.10192,0.8819,0.000140281,0.000140281,0.000140281
84,135.927,0.70789,3.08487,0.85275,0.01297,0.33,0.27249,0.2679,0.83666,4.06719,0.87391,0.000134522,0.000134522,0.000134522
85,137.42,0.95255,3.11786,0.86624,0.01297,0.33,0.27249,0.2679,0.83666,4.06719,0.87391,0.000128584,0.000128584,0.000128584
86,138.906,0.53098,2.40195,0.82473,0.01297,0.33,0.27249,0.2679,0.83666,4.06719,0.87391,0.000122465,0.000122465,0.000122465
87,140.35,0.93739,3.49344,0.88055,0.01297,0.33,0.27249,0.2679,0.83666,4.06719,0.87391,0.000116167,0.000116167,0.000116167
88,141.998,1.37427,3.97775,0.83689,0.01199,0.33,0.27596,0.2732,0.80328,4.01477,0.86966,0.000109688,0.000109688,0.000109688
89,143.57,1.00284,3.09237,0.83554,0.01199,0.33,0.27596,0.2732,0.80328,4.01477,0.86966,0.00010303,0.00010303,0.00010303
90,145.032,0.95741,3.2857,0.90347,0.01199,0.33,0.27596,0.2732,0.80328,4.01477,0.86966,9.61913e-05,9.61913e-05,9.61913e-05
91,146.507,1.153,3.46908,0.92054,0.01199,0.33,0.27596,0.2732,0.80328,4.01477,0.86966,8.91729e-05,8.91729e-05,8.91729e-05
92,148.074,1.01093,2.97497,0.83828,0.0105,0.33,0.28009,0.27692,0.77846,3.97307,0.86839,8.19745e-05,8.19745e-05,8.19745e-05
93,149.637,0.83517,2.84081,0.84159,0.0105,0.33,0.28009,0.27692,0.77846,3.97307,0.86839,7.45962e-05,7.45962e-05,7.45962e-05
94,151.181,0.84155,2.83935,0.86739,0.0105,0.33,0.28009,0.27692,0.77846,3.97307,0.86839,6.70378e-05,6.70378e-05,6.70378e-05
95,152.637,1.1887,3.44326,0.90787,0.0105,0.33,0.28009,0.27692,0.77846,3.97307,0.86839,5.92995e-05,5.92995e-05,5.92995e-05
96,154.189,1.11584,3.32156,0.89063,0.00963,0.33,0.28196,0.2786,0.78241,3.92774,0.87146,5.13812e-05,5.13812e-05,5.13812e-05
97,155.647,1.02159,2.91857,0.89893,0.00963,0.33,0.28196,0.2786,0.78241,3.92774,0.87146,4.32829e-05,4.32829e-05,4.32829e-05
98,157.183,1.07246,3.01214,0.85472,0.00963,0.33,0.28196,0.2786,0.78241,3.92774,0.87146,3.50047e-05,3.50047e-05,3.50047e-05
99,158.702,1.0521,3.04208,0.85861,0.00963,0.33,0.28196,0.2786,0.78241,3.92774,0.87146,2.65464e-05,2.65464e-05,2.65464e-05
100,160.34,0.92814,3.30421,0.83037,0.68759,0.29,0.28194,0.27858,0.7817,3.87931,0.87216,1.79082e-05,1.79082e-05,1.79082e-05
