epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.77545,1.69795,5.43363,1.42739,0,0,0,0,1.36409,5.04233,1.27411,0,0,0
2,11.3791,1.72813,5.21178,1.46856,0,0,0,0,1.34633,5.02831,1.26585,1.23763e-05,1.23763e-05,1.23763e-05
3,16.3561,2.11718,5.441,1.53652,0,0,0,0,1.31719,5.01466,1.25289,2.4505e-05,2.4505e-05,2.4505e-05
4,21.4535,1.53961,5.49426,1.26833,0,0,0,0,1.24228,5.00978,1.22976,3.63862e-05,3.63862e-05,3.63862e-05
5,26.2042,2.0404,5.91489,1.41594,0,0,0,0,1.20769,4.9552,1.20805,4.802e-05,4.802e-05,4.802e-05
6,30.6248,1.78291,5.1091,1.36866,0,0,0,0,1.10613,4.91906,1.16476,5.94062e-05,5.94062e-05,5.94062e-05
7,35.1273,1.56174,4.83684,1.19848,0,0,0,0,1.07085,4.89361,1.14734,7.0545e-05,7.0545e-05,7.0545e-05
8,39.7925,1.36816,4.59783,1.14658,0,0,0,0,1.03582,4.85715,1.11743,8.14362e-05,8.14362e-05,8.14362e-05
9,44.8959,1.29865,4.8372,1.11541,0,0,0,0,0.96502,4.78275,1.07822,9.208e-05,9.208e-05,9.208e-05
10,49.8069,1.3645,4.82152,1.14617,0,0,0,0,0.9553,4.71152,1.05588,0.000102476,0.000102476,0.000102476
11,54.6039,1.30954,4.91717,1.09186,0,0,0,0,0.95215,4.69757,1.04124,0.000112625,0.000112625,0.000112625
12,59.2615,0.99868,4.71985,1.0225,0,0,0,0,0.94235,4.68302,1.02994,0.000122526,0.000122526,0.000122526
13,63.9375,1.23733,4.93286,1.02555,0,0,0,0,0.97439,4.6771,1.02752,0.00013218,0.00013218,0.00013218
14,68.4682,1.14995,4.52859,0.96695,0,0,0,0,0.97902,4.68104,1.02328,0.000141586,0.000141586,0.000141586
15,73.1778,1.24447,5.1471,0.99178,0,0,0,0,0.98108,4.66558,1.01548,0.000150745,0.000150745,0.000150745
16,77.9897,1.10589,4.2384,0.99678,0.0009,0.10317,0.00117,0.00019,0.96189,4.665,1.00181,0.000159656,0.000159656,0.000159656
17,82.95,1.14198,4.25273,0.9137,0.00053,0.05556,0.00167,0.0005,0.88399,4.59156,0.95366,0.00016832,0.00016832,0.00016832
18,86.6472,1.15579,4.42522,0.91334,0.00053,0.05556,0.00167,0.0005,0.88399,4.59156,0.95366,0.000176736,0.000176736,0.000176736
19,90.0447,0.85855,3.98669,0.90142,0.00099,0.10317,0.00312,0.00149,0.82476,4.50057,0.91909,0.000184905,0.000184905,0.000184905
20,93.4284,0.91277,4.31202,0.89764,0.00099,0.10317,0.00312,0.00149,0.82476,4.50057,0.91909,0.000192826,0.000192826,0.000192826
21,96.8466,1.02064,4.08448,0.90927,0.00146,0.15079,0.00446,0.00289,0.77239,4.42458,0.88264,0.0002005,0.0002005,0.0002005
22,100.115,0.85932,4.06742,0.88229,0.00146,0.15079,0.00446,0.00289,0.77239,4.42458,0.88264,0.000207926,0.000207926,0.000207926
23,103.513,0.79573,3.9047,0.88072,0.00169,0.15079,0.02858,0.0106,0.76257,4.39101,0.86059,0.000215105,0.000215105,0.000215105
24,106.88,0.85308,3.89898,0.90015,0.00169,0.15079,0.02858,0.0106,0.76257,4.39101,0.86059,0.000222036,0.000222036,0.000222036
25,110.259,0.84443,3.96176,0.85492,0.00158,0.15079,0.05703,0.01355,0.74088,4.39737,0.85534,0.00022872,0.00022872,0.00022872
26,113.824,1.05445,4.21948,0.91001,0.00158,0.15079,0.05703,0.01355,0.74088,4.39737,0.85534,0.000235156,0.000235156,0.000235156
